age,job,marital,education,default,housing,loan,contact,day_of_week,campaign,pdays,poutcome,cons_price_idx,cons_conf_idx,prime_rate
42,blue-collar,married,basic.9y,unknown,no,no,telephone,mon,1,999,nonexistent,93.994,-36.4,4.857
41,management,married,basic.6y,no,no,no,telephone,mon,2,999,nonexistent,93.994,-36.4,4.857
34,technician,married,high.school,no,no,no,telephone,mon,1,999,nonexistent,93.994,-36.4,4.857
54,retired,married,high.school,unknown,no,no,telephone,mon,1,999,nonexistent,93.994,-36.4,4.857
48,blue-collar,married,basic.4y,no,yes,no,telephone,mon,1,999,nonexistent,93.994,-36.4,4.857
48,blue-collar,married,basic.6y,unknown,no,no,telephone,mon,3,999,nonexistent,93.994,-36.4,4.857
36,services,married,high.school,no,no,yes,telephone,tue,2,999,nonexistent,93.994,-36.4,4.857
54,management,married,basic.6y,unknown,yes,yes,telephone,tue,1,999,nonexistent,93.994,-36.4,4.857
44,admin.,married,high.school,no,no,no,telephone,tue,2,999,nonexistent,93.994,-36.4,4.857
41,management,married,university.degree,unknown,no,no,telephone,tue,2,999,nonexistent,93.994,-36.4,4.857
39,blue-collar,divorced,basic.9y,no,no,no,telephone,wed,1,999,nonexistent,93.994,-36.4,4.856
32,entrepreneur,married,basic.6y,no,yes,no,telephone,wed,1,999,nonexistent,93.994,-36.4,4.856
38,blue-collar,divorced,unknown,no,no,no,telephone,wed,3,999,nonexistent,93.994,-36.4,4.856
50,technician,married,high.school,no,yes,no,telephone,thu,1,999,nonexistent,93.994,-36.4,4.855
20,entrepreneur,single,high.school,no,no,no,telephone,thu,1,999,nonexistent,93.994,-36.4,4.855
35,blue-collar,married,basic.6y,no,no,no,telephone,thu,1,999,nonexistent,93.994,-36.4,4.855
51,blue-collar,divorced,basic.9y,no,no,no,telephone,thu,2,999,nonexistent,93.994,-36.4,4.855
45,blue-collar,single,basic.9y,no,no,no,telephone,thu,3,999,nonexistent,93.994,-36.4,4.855
40,admin.,married,high.school,unknown,yes,no,telephone,thu,4,999,nonexistent,93.994,-36.4,4.855
35,blue-collar,married,professional.course,no,yes,yes,telephone,fri,1,999,nonexistent,93.994,-36.4,4.855
31,technician,married,professional.course,no,no,no,telephone,fri,2,999,nonexistent,93.994,-36.4,4.855
33,admin.,divorced,university.degree,no,no,yes,telephone,fri,1,999,nonexistent,93.994,-36.4,4.855
42,blue-collar,married,basic.9y,unknown,no,no,telephone,fri,2,999,nonexistent,93.994,-36.4,4.855
57,entrepreneur,married,high.school,unknown,yes,no,telephone,fri,2,999,nonexistent,93.994,-36.4,4.855
35,self-employed,married,professional.course,no,no,no,telephone,fri,2,999,nonexistent,93.994,-36.4,4.855
47,technician,divorced,university.degree,no,no,no,telephone,mon,3,999,nonexistent,93.994,-36.4,4.857
44,services,married,basic.4y,unknown,yes,no,telephone,mon,4,999,nonexistent,93.994,-36.4,4.857
29,blue-collar,married,basic.9y,no,no,no,telephone,mon,5,999,nonexistent,93.994,-36.4,4.857
33,blue-collar,married,basic.9y,no,no,no,telephone,mon,2,999,nonexistent,93.994,-36.4,4.857
38,blue-collar,single,university.degree,unknown,yes,no,telephone,tue,2,999,nonexistent,93.994,-36.4,4.856
32,admin.,divorced,high.school,no,no,no,telephone,tue,1,999,nonexistent,93.994,-36.4,4.856
46,blue-collar,married,basic.6y,unknown,yes,no,telephone,tue,1,999,nonexistent,93.994,-36.4,4.856
41,technician,married,high.school,no,yes,no,telephone,wed,1,999,nonexistent,93.994,-36.4,4.859
38,technician,single,professional.course,unknown,unknown,unknown,telephone,wed,2,999,nonexistent,93.994,-36.4,4.859
33,unemployed,divorced,basic.9y,no,no,no,telephone,wed,2,999,nonexistent,93.994,-36.4,4.859
33,entrepreneur,married,high.school,no,no,no,telephone,wed,1,999,nonexistent,93.994,-36.4,4.859
33,blue-collar,married,basic.9y,no,yes,no,telephone,wed,2,999,nonexistent,93.994,-36.4,4.859
34,technician,married,professional.course,unknown,no,yes,telephone,wed,4,999,nonexistent,93.994,-36.4,4.859
42,blue-collar,married,basic.4y,unknown,no,yes,telephone,wed,3,999,nonexistent,93.994,-36.4,4.859
39,blue-collar,married,basic.6y,unknown,no,no,telephone,thu,1,999,nonexistent,93.994,-36.4,4.86
33,technician,married,professional.course,no,no,no,telephone,thu,4,999,nonexistent,93.994,-36.4,4.86
35,technician,married,unknown,unknown,no,no,telephone,thu,2,999,nonexistent,93.994,-36.4,4.86
44,technician,married,professional.course,unknown,no,no,telephone,thu,5,999,nonexistent,93.994,-36.4,4.86
44,services,married,high.school,unknown,yes,no,telephone,thu,2,999,nonexistent,93.994,-36.4,4.86
32,services,married,high.school,no,no,yes,telephone,fri,4,999,nonexistent,93.994,-36.4,4.859
35,admin.,single,high.school,no,no,yes,telephone,fri,1,999,nonexistent,93.994,-36.4,4.859
44,management,single,university.degree,unknown,yes,no,telephone,fri,1,999,nonexistent,93.994,-36.4,4.859
44,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,fri,4,999,nonexistent,93.994,-36.4,4.859
52,management,married,professional.course,no,no,no,telephone,fri,1,999,nonexistent,93.994,-36.4,4.859
41,management,married,university.degree,no,no,no,telephone,fri,4,999,nonexistent,93.994,-36.4,4.859
38,blue-collar,single,university.degree,unknown,no,no,telephone,fri,1,999,nonexistent,93.994,-36.4,4.859
